name,en_US,ja_JP,ko_KR,cn_CN
Scene.apply_transforms.desc,"Check this if both armatures and meshes are already at their correct positions.
This will cause them to stay exactly where they are when merging",,,"若两个骨骼对象及对应网格已处于正确位置，请勾选此选项
勾选后，合并过程中将保留对象的当前位置"
Scene.merge_armatures_join_meshes.label,Join Meshes,メッシュを結合する,메쉬 통합,合并网格
Scene.merge_armatures_join_meshes.desc,"This will join all meshes.
Not checking this will always apply transforms",,,"合并所有网格对象
取消勾选此选项时，将强制应用所有变换参数"
Scene.merge_armatures_remove_zero_weight_bones.label,Remove Zero Weight Bones,ゼロウェイトボーンを削除する,제로 웨이트 본 제거,移除零权重骨骼
Scene.merge_armatures_remove_zero_weight_bones.desc,"Cleans up the bones hierarchy, deleting all bones that don't directly affect any vertices.
Uncheck this if bones or vertex groups that you want to keep got deleted",,,"清理骨骼层级结构，删除所有未直接影响任何顶点的骨骼
若你需要保留的骨骼或顶点组被误删，请取消勾选此选项"
Scene.decimation_mode.label,Decimation Mode,単純化モード,,减面模式
Scene.decimation_mode.desc,Decimation Mode,,,减面模式
Scene.decimation_mode.smart.label,Smart,スマート,,智能减面
Scene.decimation_mode.smart.desc,"Best results - repair shape keys after decimation

This will decimate your whole model and attempt to undo the warping caused by Blender's decimation.
This will give the best results and keep blinking and lip syncing, but may have issues on some models.",,"최고의 결과 - 데시메이션 이후 쉐이프키들을 복구함

This will decimate your whole model and attempt to undo the warping caused by Blender's decimation.
This will give the best results and keep blinking and lip syncing, but may have issues on some models.","效果最优 —— 减面后修复形状键
对整个模型执行减面操作，并尝试修正由 Blender 减面功能导致的模型扭曲
该模式减面效果最佳，且能保留眨眼和口型同步功能，但部分模型可能出现兼容问题"
Scene.decimation_mode.safe.label,Safe,安全,안전,安全减面
Scene.decimation_mode.safe.desc,"Decent results - no shape key loss

This will only decimate meshes with no shape keys.
The results are decent and you won't lose any shape keys.
Eye Tracking and Lip Syncing will be fully preserved.",,"괜찮은 결과 - 쉐이프키 손실 없음

This will only decimate meshes with no shape keys.
The results are decent and you won't lose any shape keys.
Eye Tracking and Lip Syncing will be fully preserved.","效果尚可 —— 无形状键丢失
仅对无形状键的网格执行减面操作
减面效果中规中矩，且不会丢失任何形状键
眼球追踪和口型同步功能将完全保留"
Scene.decimation_mode.half.label,Half,ハーフ,반,半量减面
Scene.decimation_mode.half.desc,"Good results - minimal shape key loss

This will only decimate meshes with less than 4 shape keys as those are often not used.
The results are better but you will lose the shape keys in some meshes.
Eye Tracking and Lip Syncing should still work.",,"나쁘지 않은 결과, - 최소한의 쉐이프키 손실됨

This will only decimate meshes with less than 4 shape keys as those are often not used.
The results are better but you will lose the shape keys in some meshes.
Eye Tracking and Lip Syncing should still work.","效果良好 —— 形状键少量丢失
仅对形状键数量少于 4 个的网格执行减面操作（此类形状键通常非核心）
减面效果更优，但部分网格的形状键会丢失
眼球追踪和口型同步功能仍可正常使用"
Scene.decimation_mode.full.label,Full,フル,전체,全量减面
Scene.decimation_mode.full.desc,"Consistent results - full shape key loss

This will decimate your whole model deleting all shape keys in the process.
This will give consistent results but you will lose the ability to add blinking and Lip Syncing.
Eye Tracking will still work if you disable Eye Blinking.",,"일관된 결과 - 모든 쉐이프키들이 손실됨

This will decimate your whole model deleting all shape keys in the process.
This will give consistent results but you will lose the ability to add blinking and Lip Syncing.
Eye Tracking will still work if you disable Eye Blinking.","效果稳定 —— 所有形状键丢失
对整个模型执行减面操作，过程中删除所有形状键
减面效果稳定，但模型将无法添加眨眼和口型同步功能
若禁用眼球眨眼功能，眼球追踪仍可正常使用"
Scene.decimation_mode.custom.label,Custom,カスタム,커스텀,自定义减面
Scene.decimation_mode.custom.desc,"Custom results - custom shape key loss

This will let you choose which meshes and shape keys should not be decimated.
",,"커스텀 결과 - 커스텀 쉐이프키 손실

This will let you choose which meshes and shape keys should not be decimated.
","效果自定义 —— 按需保留形状键
可自主选择需要保留、不进行减面的网格和形状键
"
Scene.selection_mode.label,Selection Mode,選択モード,선택 모드,选择模式
Scene.selection_mode.desc,Selection Mode,,,选择模式
Scene.selection_mode.shapekeys.label,Shape Keys,シェイプキー,쉐이프키,形状键
Scene.selection_mode.shapekeys.desc,Select all the shape keys you want to preserve here.,,,在此处选择所有需要保留的形状键
Scene.selection_mode.meshes.label,Meshes,メッシュ,메쉬,网格
Scene.selection_mode.meshes.desc,Select all the meshes you don't want to decimate here.,,,在此处选择所有不需要进行减面的网格
Scene.add_shape_key.label,Shape,形状,쉐이프키,形状键
Scene.add_shape_key.desc,The shape key you want to keep,,,需要保留的形状键
Scene.add_mesh.label,Mesh,メッシュ,메쉬,网格
Scene.add_mesh.desc,The mesh you want to leave untouched by the decimation,,,需要保留、不执行减面操作的网格
Scene.decimate_fingers.label,Save Fingers,指を救う,손가락 유지,保留手指网格
Scene.decimate_fingers.desc,"Check this if you don't want to decimate your fingers!
Results will be worse but there will be no issues with finger movement.
This is probably only useful if you have a VR headset.

This operation requires the finger bones to be named specifically:
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)",,"손가락의 버텍스를 줄여 망치고 싶지 않다면 이것을 체크하세요!
결과는 더 나빠질 수 있지만 손의 움직임에는 문제가 없습니다.
아마 VR을 사용하는 경우에만 유용 할 것입니다.

이 작업을 수행하려면 손가락과 손 뼈의 이름을 구체적으로 지정해야합니다.
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)","若你不想对指部网格进行减面，请勾选此选项
减面整体效果会下降，但手指的运动效果不会出现任何问题
该设置仅对使用 VR 头显的用户有实际意义
使用该功能要求手指骨骼命名符合以下规范：
拇指：Thumb (0-2)(左 / 右)
食指：IndexFinger (1-3)(左 / 右)
中指：MiddleFinger (1-3)(左 / 右)
无名指：RingFinger (1-3)(左 / 右)
小指：LittleFinger (1-3)(左 / 右)"
Scene.decimate_hands.label,Save Hands,手を救う,손 유지,保留手部整体网格
Scene.decimate_hands.desc,"Check this if you don't want to decimate your full hands!
Results will be worse but there will be no issues with hand movement.
This is probably only useful if you have a VR headset.

This operation requires the finger and hand bones to be named specifically:
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)",,"손의 버텍스를 줄여 망치고 싶지 않다면 이것을 체크하세요!
결과는 더 나빠질 수 있지만 손의 움직임에는 문제가 없습니다.
아마 VR을 사용하는 경우에만 유용 할 것입니다.

이 작업을 수행하려면 손가락과 손 뼈의 이름을 구체적으로 지정해야합니다.
Left/Right wrist
Thumb(0-2)_(L/R)
IndexFinger(1-3)_(L/R)
MiddleFinger(1-3)_(L/R)
RingFinger(1-3)_(L/R)
LittleFinger(1-3)_(L/R)","若你不想对整个手部网格进行减面，请勾选此选项
减面整体效果会下降，但手部的运动效果不会出现任何问题
该设置仅对使用 VR 头显的用户有实际意义
使用该功能要求手部及手指骨骼命名符合以下规范：
左手 / 右手腕骨
拇指：Thumb (0-2)(左 / 右)
食指：IndexFinger (1-3)(左 / 右)
中指：MiddleFinger (1-3)(左 / 右)
无名指：RingFinger (1-3)(左 / 右)
小指：LittleFinger (1-3)(左 / 右)"
Scene.decimation_remove_doubles.label,Remove Doubles,重複を削除,이중 제거,移除重复顶点
Scene.decimation_remove_doubles.desc,Uncheck this if you get issues with this checked,Uncheck this if you got issues with with this checked,문제가 될 시 체크를 해제하세요,若勾选此选项后模型出现问题，请取消勾选
Scene.decimation_animation_weighting.label,Animation weighting,,,动画权重优化
Scene.decimation_animation_weighting.desc,"Weight decimation based on shape keys and vertex group overlap
Results in better animating topology by trading off overall shape accuracy
Use if your elbows/joints end up with bad topology",,,"基于形状键和顶点组重叠情况进行权重减面优化
以牺牲模型整体形状精度为代价，获得更适合动画的拓扑结构
若你的模型手肘或关节部位拓扑结构不佳，建议使用此选项"
Scene.decimation_animation_weighting_factor.label,Factor,,,权重因子
Scene.decimation_animation_weighting_factor.desc,How much influence the animation weighting has on the overall shape,,,动画权重对模型整体形状的影响程度
Scene.max_tris.label,Tris,トリス,삼각폴리곤(Tris),目标三角面数
Scene.max_tris.desc,The target amount of tris after decimation,,,减面操作后的目标三角面数量
Scene.eye_mode.label,Eye Mode,アイモード,,眼球模式
Scene.eye_mode.desc,Mode,,,模式
Scene.eye_mode.creation.label,Creation,創作,생성,创建
Scene.eye_mode.creation.desc,Here you can create eye tracking.,,,可在此处创建眼球追踪功能
Scene.eye_mode.testing.label,Testing,テスティング,테스트,测试
Scene.eye_mode.testing.desc,Here you can test how eye tracking will look in-game.,,,可在此处测试眼球追踪在游戏内的显示效果
Scene.mesh_name_eye.label,Mesh,メッシュ,메쉬,网格
Scene.mesh_name_eye.desc,The mesh with the eyes vertex groups,,,包含眼球顶点组的网格对象
Scene.head.label,Head,頭,머리,头部骨骼
Scene.head.desc,The head bone containing the eye bones,,,包含眼球骨骼的头部骨骼对象
Scene.eye_left.label,Left Eye,左目,왼쪽 눈,左眼骨骼
Scene.eye_left.desc,The models left eye bone,,,模型的左眼骨骼对象
Scene.eye_right.label,Right Eye,右目,오른쪽 눈,右眼骨骼
Scene.eye_right.desc,The models right eye bone,,,模型的右眼骨骼对象
Scene.wink_left.label,Blink Left,左点滅,왼쪽 깜빡임,左眨眼形状键
Scene.wink_left.desc,The shape key containing a blink with the left eye,,,包含左眼眨眼动作的形状键
Scene.wink_right.label,Blink Right,右点滅,오른쪽 깜빡임,右眨眼形状键
Scene.wink_right.desc,The shape key containing a blink with the right eye,,,包含右眼眨眼动作的形状键
Scene.lowerlid_left.label,Lowerlid Left,下まぶた左,왼쪽 아래 눈꺼풀,左下眼睑形状键
Scene.lowerlid_left.desc,"The shape key containing a slightly raised left lower lid.
Can be set to ""Basis"" to disable lower lid movement",,,"包含左下眼睑轻微抬起动作的形状键
可设为基础形状键以禁用下眼睑运动"
Scene.lowerlid_right.label,Lowerlid Right,下まぶた右,오른쪽 아래 눈꺼풀,右下眼睑形状键
Scene.lowerlid_right.desc,"The shape key containing a slightly raised right lower lid.
Can be set to ""Basis"" to disable lower lid movement",,,"包含右下眼睑轻微抬起动作的形状键
可设为基础形状键以禁用下眼睑运动"
Scene.disable_eye_movement.label,Disable Eye Movement,目の動きを無効にする,눈 움직임 비활성화,禁用眼球运动
Scene.disable_eye_movement.desc,"IMPORTANT: Do your decimation first if you check this!

Disables eye movement. Useful if you only want blinking.
This creates eye bones with no movement bound to them.
You still have to assign ""LeftEye"" and ""RightEye"" to the eyes in Unity",,,"重要提示：若勾选此选项，请先执行减面操作
禁用眼球的运动功能，适用于仅需保留眨眼效果的场景
此操作将创建无运动绑定的眼球骨骼
仍需在 Unity 中为眼球分配左眼和右眼骨骼标识"
Scene.disable_eye_blinking.label,Disable Eye Blinking,瞬きを無効にする,눈 깜빡임 비활성화,禁用眼球眨眼
Scene.disable_eye_blinking.desc,"Disables eye blinking. Useful if you only want eye movement.
This will create the necessary shape keys but leaves them empty",,,"禁用眼球的眨眼功能，适用于仅需保留眼球运动的场景
此操作将创建所需的形状键，但会保留其空白状态"
Scene.eye_distance.label,Eye Movement Range,眼球運動範囲,눈 움직임 범위,眼球运动范围
Scene.eye_distance.desc,"Higher = more eye movement
Lower = less eye movement
Warning: Too little or too much range can glitch the eyes.
Test your results in the ""Eye Testing""-Tab!
",,,"数值越大 = 眼球运动幅度越大
数值越小 = 眼球运动幅度越小
警告：数值过小或过大均可能导致眼球显示异常
请在眼球测试标签页中验证效果
"
Scene.eye_rotation_x.label,Up - Down,上 - 下,위 - 아래,上下运动
Scene.eye_rotation_x.desc,Rotate the eye bones on the vertical axis,,,沿垂直轴旋转眼球骨骼
Scene.eye_rotation_y.label,Left - Right,左 - 右,왼쪽 - 오른쪽,左右运动
Scene.eye_rotation_y.desc,"Rotate the eye bones on the horizontal axis.
This is from your own point of view",,,沿水平轴旋转眼球骨骼（以你的视角为基准）
Scene.iris_height.label,Iris Height,アイリスの高さ,눈동자 높이,虹膜高度
Scene.iris_height.desc,Moves the iris away from the eye ball,,,调整虹膜与眼球的间距
Scene.eye_blink_shape.label,Blink Strength,まばたきの強さ,깜빡임 강도,眨眼强度
Scene.eye_blink_shape.desc,Test the blinking of the eye,,,测试眼球的眨眼效果
Scene.eye_lowerlid_shape.label,Lowerlid Strength,下まぶたの強さ,아래 눈꺼풀 강도,下眼睑眨眼强度
Scene.eye_lowerlid_shape.desc,Test the lowerlid blinking of the eye,,,测试眼球下眼睑的眨眼效果
Scene.mesh_name_viseme.label,Mesh,メッシュ,메쉬,网格
Scene.mesh_name_viseme.desc,The mesh with the mouth shape keys,,,包含嘴部形状键的网格对象
Scene.mouth_a.label,Viseme AA,バイセム AA,발음 아(AA),AA 口型形状键
Scene.mouth_a.desc,"Shape key containing mouth movement that looks like someone is saying ""aa"".
Do not put empty shape keys like ""Basis"" in here",,,"包含发 AA 音时嘴部动作的形状键
请勿在此处选择基础形状键等空白形状键"
Scene.mouth_o.label,Viseme OH,バイセム OH,발음 오(OH),OH 口型形状键
Scene.mouth_o.desc,"Shape key containing mouth movement that looks like someone is saying ""oh"".
Do not put empty shape keys like ""Basis"" in here",,,"包含发 OH 音时嘴部动作的形状键
请勿在此处选择基础形状键等空白形状键"
Scene.mouth_ch.label,Viseme CH,バイセム CH,발음 츠(CH),CH 口型形状键
Scene.mouth_ch.desc,"Shape key containing mouth movement that looks like someone is saying ""ch"". Opened lips and clenched teeth.
Do not put empty shape keys like ""Basis"" in here",,,"包含发 CH 音时嘴部动作的形状键（嘴唇张开、牙齿咬紧）
请勿在此处选择基础形状键等空白形状键"
Scene.shape_intensity.label,Shape Key Mix Intensity,シェイプキーミックスの強度,쉐이프키 혼합 강도,形状键混合强度
Scene.shape_intensity.desc,Controls the strength in the creation of the shape keys. Lower for less mouth movement strength,,,控制形状键生成时的融合强度，数值越小嘴部动作幅度越弱
Scene.root_bone.label,To Parent,親に,부모쪽으로,至父级骨骼
Scene.root_bone.desc,List of bones that look like they could be parented together to a root bone,,,可绑定至同一根根骨骼的骨骼列表
Scene.optimize_mode.label,Optimize Mode,最適化モード,최적화 모드,优化模式
Scene.optimize_mode.desc,Mode,,,模式
Scene.optimize_mode.atlas.label,Atlas,アトラス,,纹理图集
Scene.optimize_mode.atlas.desc,Allows you to make a texture atlas.,,,可创建模型的纹理图集
Scene.optimize_mode.material.label,Material,マテリアル,매테리얼,材质优化
Scene.optimize_mode.material.desc,Some various options on material manipulation.,,,包含多项材质编辑相关选项
Scene.optimize_mode.bonemerging.label,Bone Merging,骨のマージ,본 통합,骨骼合并
Scene.optimize_mode.bonemerging.desc,Allows child bones to be merged into their parents.,,,可将子骨骼合并至其父级骨骼
Scene.merge_ratio.label,Merge Ratio,マージ率,통합 비율,合并比例
Scene.merge_ratio.desc,"Higher = more bones will be merged
Lower = less bones will be merged
",,,"数值越大 = 被合并的骨骼数量越多
数值越小 = 被合并的骨骼数量越少"
Scene.merge_mesh.label,Mesh,メッシュ,메쉬,网格
Scene.merge_mesh.desc,The mesh with the bones vertex groups,,,包含骨骼顶点组的网格对象
Scene.merge_bone.label,To Merge,マージするには,통합할 부분,待合并骨骼
Scene.merge_bone.desc,List of bones that look like they could be merged together to reduce overall bones,,,可合并以减少整体骨骼数量的骨骼列表
Scene.show_mmd_tabs.label,Show mmd_tools,,mmd_tools 탭 보이기,显示 MMD 工具插件面板
Scene.show_mmd_tabs.desc,"Allows you to hide/show the mmd_tools tabs ""MMD"" and ""Misc""",,,可显示 / 隐藏 MMD 工具插件的 MMD 和杂项标签页
Scene.embed_textures.label,Embed Textures on Export,エクスポート時にテクスチャを埋め込む,내보낼 때 텍스처 포함,导出时嵌入纹理
Scene.embed_textures.desc,"Enable this to embed the texture files into the FBX file upon export.
Unity will automatically extract these textures and put them into a separate folder.
This might not work for everyone and it increases the file size of the exported FBX file",,,"勾选此选项，将在导出时把纹理文件嵌入至 FBX 文件中
Unity 会自动提取这些纹理并保存至独立文件夹
此功能并非对所有用户生效，且会增加导出 FBX 文件的体积"
Scene.ui_lang.label,Cats Language,,,CATS 插件界面语言
Scene.ui_lang.desc,Lets you select which language the Cats interface should have,,,可选择 CATS 插件的界面显示语言
Scene.use_custom_mmd_tools.label,Use Custom mmd_tools,カスタムmmd_toolsを使用する,커스텀 mmd_tools 사용,使用自定义 MMD 工具插件
Scene.use_custom_mmd_tools.desc,Enable this to use your own version of mmd_tools. This will disable the internal cats mmd_tools,,,勾选此选项以使用自定义版本的 MMD 工具插件，同时将禁用 CATS 插件内置的 MMD 工具插件
Scene.debug_translations.label,Debug Google Translations,Google翻訳をデバッグ,Google 번역 디버그,调试谷歌翻译
Scene.debug_translations.desc,Tests the Google Translations and prints the Google response in case of error,,,测试谷歌翻译功能，若出现错误将打印谷歌服务的返回信息
Scene.bake_resolution.label,Resolution,,해상도,输出分辨率
Scene.bake_resolution.desc,"Output resolution for the textures.
- 2048 is typical for desktop use.
- 1024 is reccomended for the Quest",,"테스쳐들의 결과 해상도.
- 2048 데스크탑 용
- 1024 퀘스트 용","纹理的输出分辨率：
- 2048 像素为电脑端使用的标准分辨率
- 1024 像素为 Quest 版的推荐分辨率"
Scene.bake_use_decimation.label,Decimate,,버텍스 줄이기(Decimate),烘焙前减面
Scene.bake_use_decimation.desc,"Reduce polycount before baking, then use Normal maps to restore detail",,베이킹하기 전에 폴리 카운트를 줄인 다음 노멀 맵을 사용하여 디테일을 복원합니다.,烘焙前先降低模型面数，再通过法线贴图还原细节
Scene.bake_generate_uvmap.label,Generate UVMap,,UV 맵 생성,生成 UV 贴图
Scene.bake_generate_uvmap.desc,"Re-pack islands for your mesh to a new non-overlapping UVMap.
Only disable if your UVs are non-overlapping already.
This will leave any map named ""Detail Map"" alone.
Uses UVPackMaster where available for more efficient UVs, make sure the window is showing",,,"为网格重新打包 UV 岛，生成无重叠的新 UV 贴图
若当前 UV 已无重叠，可禁用此选项
此操作不会修改名为细节贴图的 UV 层
若安装了 UV 打包大师插件，将使用该插件实现更高效的 UV 打包，需保证该插件窗口处于显示状态"
Scene.bake_uv_overlap_correction.label,Overlap correction,,중복 보정,重叠修正
Scene.bake_uv_overlap_correction.desc,Method used to prevent overlaps in UVMap,,,用于防止 UV 贴图出现重叠的处理方式
Scene.bake_prioritize_face.label,Prioritize Head/Eyes,,머리 / 눈 우선 순위 지정,优先放大头部 / 眼球 UV
Scene.bake_prioritize_face.desc,Scale any UV islands attached to the head/eyes by a given factor.,,,按指定比例放大与头部 / 眼球绑定的 UV 岛
Scene.bake_face_scale.label,Head/Eyes Scale,,머리 / 눈 스케일,头部 / 眼球 UV 缩放比例
Scene.bake_face_scale.desc,How much to scale up the face/eyes portion of the textures.,,,纹理中面部 / 眼球区域的放大倍数
Scene.bake_quick_compare.label,Quick compare,,빠른 비교,快速对比
Scene.bake_quick_compare.desc,Move output avatar next to existing one to quickly compare,,,将烘焙后的化身模型移至原模型旁，便于快速对比效果
Scene.bake_illuminate_eyes.label,Set eyes to full brightness,,눈을 최대 밝기로 설정,将眼球设为全亮度
Scene.bake_illuminate_eyes.desc,"Relight LeftEye and RightEye to be full brightness.
Without this, the eyes will have the shadow of the surrounding socket baked in,
which doesn't animate well",,,"将左眼和右眼骨骼对应的模型部位重新打光至全亮度
若不执行此操作，眼球将被烘焙入眼窝周围的阴影效果
导致眼球的动画显示效果不佳"
Scene.bake_pass_smoothness.label,Smoothness,,부드러움,平滑度贴图
Scene.bake_pass_smoothness.desc,"Bakes Roughness and then inverts the values.
To use this, it needs to be packed to the Alpha channel of either Diffuse or Metallic.
Not neccesary if your mesh has a global roughness value",,,"烘焙粗糙度信息并反转其数值
使用此贴图需将其打包至漫反射或金属度贴图的 Alpha 通道
若模型已设置全局粗糙度值，则无需启用此选项"
Scene.bake_pass_diffuse.label,Diffuse (Color),,확산 (색상),漫反射贴图（颜色）
Scene.bake_pass_diffuse.desc,"Bakes diffuse, un-lighted color. Usually you will want this.
While baking, this temporarily links ""Metallic"" to ""Anisotropic Rotation"" as metallic can cause issues.",,,"烘焙无光照影响的漫反射颜色信息，通常建议启用
烘焙过程中，会临时将金属度贴图关联至各向异性旋转通道，因金属度属性可能导致烘焙异常"
Scene.bake_preserve_seams.label,Preserve seams,,이음새 유지,保留缝合线
Scene.bake_preserve_seams.desc,"Forces the Decimate operation to preserve vertices making up seams, preventing hard edges along seams.
May result in less ideal geometry.
Use if you notice ugly edges along your texture seams.",,,"强制减面操作保留构成缝合线的顶点，避免缝合线处出现硬边
此操作可能导致模型几何结构不够优化
若发现纹理缝合线处出现明显硬边，可启用此选项"
Scene.bake_pass_normal.label,Normal (Bump),,노말 (범프),法线贴图（凹凸）
Scene.bake_pass_normal.desc,"Bakes a normal (bump) map. Allows you to keep the shading of a complex object with
the geometry of a simple object. If you have selected 'Decimate', it will create a map
that makes the low res output look like the high res input.
Will not work well if you have self-intersecting islands",,,"烘焙法线（凹凸）贴图，可让低模模型保留高模模型的着色细节
若勾选了烘焙前减面，将生成对应的法线贴图，使低模还原高模的细节
若 UV 岛存在自相交情况，此功能效果将大打折扣"
Scene.bake_normal_apply_trans.label,Apply transforms,,변환 적용,应用变换参数
Scene.bake_normal_apply_trans.desc,"Applies offsets while baking normals. Neccesary if your model has many materials with different normal maps
Turn this off if applying location causes problems with your model",,,"烘焙法线时应用对象的变换偏移量
若模型包含多个带不同法线贴图的材质，建议启用此选项
若应用位置变换导致模型出现问题，请禁用此选项"
Scene.bake_pass_ao.label,Ambient Occlusion,,,环境光遮蔽
Scene.bake_pass_ao.desc,"Bakes Ambient Occlusion, non-projected shadows. Adds a significant amount of detail to your model.
Reccomended for non-toon style avatars.
Takes a fairly long time to bake",,,"烘焙环境光遮蔽效果（非投影阴影），为模型增加大量细节
非卡通风格化身建议启用
此烘焙过程耗时较长"
Scene.bake_pass_questdiffuse.label,Quest Diffuse (Color+AO),,,Quest 版漫反射贴图（颜色 + 环境光遮蔽）
Scene.bake_pass_questdiffuse.desc,Blends the result of the Diffuse and AO bakes to make Quest-compatible shading.,,,融合漫反射和环境光遮蔽的烘焙结果，生成适配 Quest 版的着色效果
Scene.bake_pass_emit.label,Emit,,,自发光贴图
Scene.bake_pass_emit.desc,"Bakes Emit, glowyness",,,烘焙模型的自发光（辉光）效果
Scene.bake_diffuse_alpha_pack.label,Alpha Channel,,,漫反射 Alpha 通道
Scene.bake_diffuse_alpha_pack.desc,What to pack to the Diffuse Alpha channel,,,指定打包至漫反射贴图 Alpha 通道的贴图类型
Scene.bake_metallic_alpha_pack.label,Metallic Alpha Channel,,,金属度 Alpha 通道
Scene.bake_metallic_alpha_pack.desc,What to pack to the Metallic Alpha channel,,,指定打包至金属度贴图 Alpha 通道的贴图类型
Scene.bake_pass_alpha.label,Transparency,,,透明度贴图
Scene.bake_pass_alpha.desc,"Bakes transparency by connecting the last Principled BSDF Alpha input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary
Unused if you are baking to Quest",,,"通过将原理化 BSDF 着色器的最后一个 Alpha 输入口关联至基础颜色输入口，再烘焙漫反射的方式实现透明度烘焙
此并非 Blender 的原生烘焙通道，效果可能存在差异
若烘焙 Quest 版模型，此选项将失效"
Scene.bake_pass_metallic.label,Metallic,,,金属度贴图
Scene.bake_pass_metallic.desc,"Bakes metallic by connecting the last Principled BSDF Metallic input
to the Base Color input and baking Diffuse.
Not a native pass in Blender, results may vary",,,"通过将原理化 BSDF 着色器的最后一个金属度输入口关联至基础颜色输入口，再烘焙漫反射的方式实现金属度烘焙
此并非 Blender 的原生烘焙通道，效果可能存在差异"
Scene.bake_questdiffuse_opacity.label,AO Opacity,,,环境光遮蔽不透明度
Scene.bake_questdiffuse_opacity.desc,"The opacity of the shadows to blend onto the Diffuse map.
This should match the unity slider for AO on the Desktop version.",,,"融合至漫反射贴图的阴影不透明度
该数值应与电脑端 Unity 中环境光遮蔽的滑块数值保持一致"
Scene.bake_uv_overlap_correction.none.label,None,,,无处理
Scene.bake_uv_overlap_correction.none.desc,Leave islands as they are. Use if islands don't self-intersect at all,,,保留 UV 岛原有状态。若 UV 岛完全无自相交情况，可使用此选项
Scene.bake_uv_overlap_correction.unmirror.label,Unmirror,,,取消镜像
Scene.bake_uv_overlap_correction.unmirror.desc,Move all face islands with positive X values over one to un-pin mirrored UVs. Solves most UV pinning issues.,,,将所有 X 轴坐标为正的面部 UV 岛整体偏移，解除镜像 UV 的固定状态。可解决绝大多数 UV 固定异常问题
Scene.bake_uv_overlap_correction.reproject.label,Reproject,,,重新投影
Scene.bake_uv_overlap_correction.reproject.desc,Use blender's Smart UV Project to come up with an entirely new island layout. Tends to reduce quality.,,,使用 Blender 的智能 UV 投影功能，生成全新的 UV 岛布局。该方式可能会降低贴图精度
Scene.bake_diffuse_alpha_pack.none.label,None,,,无
Scene.bake_diffuse_alpha_pack.none.desc,No alpha channel,,,无 Alpha 通道
Scene.bake_diffuse_alpha_pack.transparency.label,Transparency,,,透明度
Scene.bake_diffuse_alpha_pack.transparency.desc,Pack Transparency,,,打包透明度信息
Scene.bake_diffuse_alpha_pack.smoothness.label,Smoothness,,,平滑度
Scene.bake_diffuse_alpha_pack.smoothness.desc,Pack Smoothness. Most efficient if you don't have transparency or metallic textures.,,,打包平滑度信息。若模型无透明度或金属度贴图，此方式效率最优
Scene.bake_metallic_alpha_pack.none.label,None,,,无
Scene.bake_metallic_alpha_pack.none.desc,No alpha channel,,,无 Alpha 通道
Scene.bake_metallic_alpha_pack.smoothness.label,Smoothness,,,平滑度
Scene.bake_metallic_alpha_pack.smoothness.desc,Pack Smoothness. Use this if your Diffuse alpha channel is already populated with Transparency,,,打包平滑度信息。若漫反射贴图的 Alpha 通道已用于打包透明度信息，可使用此选项
cats_bake.warn_missing_nodes,"A material in use isn't using Nodes, fix this in the Shading tab.",,,当前使用的材质未启用节点编辑，请在着色标签页中修复该问题
cats_bake.preset_desktop.label,Desktop,,,电脑端预设
cats_bake.preset_desktop.desc,"Preset for producing an Excellent-rated Desktop avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,,"用于制作电脑端优秀评级化身的预设（未计入骨骼相关优化）
该预设将自动检测模型适用的烘焙通道"
cats_bake.preset_quest.label,Quest,,,Quest 版预设
cats_bake.preset_quest.desc,"Preset for producing an Excellent-rated Quest avatar, not accounting for bones.
This will try to automatically detect which bake passes are relevant to your model",,,"用于制作 Quest 版优秀评级化身的预设（未计入骨骼相关优化）
该预设将自动检测模型适用的烘焙通道"
cats_bake.bake.label,Copy and Bake (SLOW!),,,复制并烘焙（耗时较长）
cats_bake.bake.desc,"Perform the bake. Warning, this performs an actual render!
This will create a copy of your avatar to leave the original alone.
Depending on your machine and model, this could take an hour or more.
For each pass, any Value node in your materials labeled bake_<bakename> will be
set to 1.0, for more granular customization.",,,"执行烘焙操作
警告：此操作将执行实际渲染计算
该操作会复制一份化身模型，避免修改原模型
根据电脑配置和模型复杂度，耗时可能超过一小时
针对每个烘焙通道，材质中所有命名为 bake_<烘焙通道名> 的数值节点
将被设为 1.0，支持更精细化的自定义烘焙"
cats_bake.error.no_meshes,No meshes found!,,메쉬가 발견되지 않음!,未检测到网格对象！
cats_bake.error.render_engine,You need to set your render engine to Cycles first!,,,请先将渲染引擎切换为循环渲染！
cats_bake.error.render_disabled,One or more of your armature's meshes have rendering disabled!,,,骨骼对象的一个或多个关联网格已禁用渲染！
